Letter Date,Issue Date,Company,URL,Issuing Office,Snippet
04/15/2025,03/26/2025,Naturista Store LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/naturista-store-llc-701480-03262025,Center for Drug Evaluation and Research (CDER),"… product demonstrates that this product is marketed as a dietary supplement. 2 However, under section 201(ff)(3)(B)(i) of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
03/11/2025,03/06/2025,Pico IV Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pico-iv-inc-700591-03062025,Center for Drug Evaluation and Research (CDER),"… conditions. You appear to be marketing your “Pico IV” as a dietary supplement. For example, marketing material found on your … states that “CBD, and other cannabinoids, are considered dietary supplements by the FDA . . . even if they’re …"
03/11/2025,03/04/2025,C & A Naturistics,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/c-naturistics-693439-03042025,Center for Drug Evaluation and Research (CDER),"… product demonstrates that this product is marketed as a dietary supplement. However, under section 201(ff)(3)(B)(i) of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
02/11/2025,02/04/2025,"ISOThrive, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/isothrive-inc-688547-02042025,Center for Drug Evaluation and Research (CDER),"… drug, (b)(4) , was and remains a commercially available dietary supplement; (2) the endpoint of both studies was tolerability … July 20, 2023, written response, (b)(4) is marketed as a dietary supplement, not as a drug product. For the reasons …"
01/28/2025,01/16/2025,"Mihon Corp. d/b/a VitalityVita and Boulla, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mihon-corp-dba-vitalityvita-and-boulla-llc-698165-01162025,Center for Drug Evaluation and Research (CDER),… “ZoomMax” demonstrate that the products are marketed as dietary supplements. 5 Under sections 201(ff)(3)(B)(i) and … containing that substance are outside the definition of a dietary supplement. There is an exception if the substance was …
01/21/2025,11/13/2024,"Western Innovations, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/western-innovations-inc-679737-11132024,Human Foods Program,"… 8, 2024, and we address your responses below. Adulterated Dietary Supplements The inspection of your facility on … Packaging, Labeling, or Holding Operations for Dietary Supplements under Title 21, Code of Federal … used in the manufacture of your Acetyl-glutathione dietary supplement product, as required by 21 CFR 111.70(b). • You …"
11/26/2024,11/18/2024,Stew Leonard’s Holdings LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/stew-leonards-holdings-llc-681214-11182024,Human Foods Program,"… Office of Enforcement – Division of Critical Foods and Dietary Supplement Enforcement HFS-608, 5001 Campus Drive, College …"
11/05/2024,06/03/2024,"Top Health Manufacturing, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/top-health-manufacturing-llc-671665-06032024,Division of Human and Animal Food Operations West IV,"… Drug Administration, (FDA) conducted an inspection of your dietary supplement manufacturing facility located at 1350 Calpac … in relation to each of the noted violations. Adulterated Dietary Supplements The inspection of your facility on …"
10/01/2024,09/13/2024,Far East Summit LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/far-east-summit-llc-681536-09132024,Division of Human and Animal Food Operations West VI,"… violates section 301(a) of the Act [21 U.S.C. § 331(a)]. Dietary Supplement CGMP Violations The inspection revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, Title 21, Code of Federal Regulations …"
10/01/2024,09/26/2024,"Supercore Products Group, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/supercore-products-group-inc-690510-09262024,Center for Drug Evaluation and Research (CDER),"… products demonstrate that these products are marketed as dietary supplements. However, under section 201(ff)(3)(B)(i) … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
09/24/2024,08/13/2024,"Restorative Botanicals, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/restorative-botanicals-llc-674740-08132024,Division of Human and Animal Food Operations West IV,"… in relation to each of the noted violations. Adulterated Dietary Supplements The inspection of your facility on … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … component that you use in the manufacturing of a dietary supplement as follows: You failed to establish an identity …"
